209.141.40.36 - - [15/Jan/2021:00:01:26 +0000] "POST /ws/v1/cluster/apps/new-application HTTP/1.1" 404 1124
130.61.219.221 - - [15/Jan/2021:00:18:06 +0000] "GET /manager/html HTTP/1.1" 403 3503
36.71.72.59 - - [15/Jan/2021:00:44:40 +0000] "GET / HTTP/1.1" 200 1
162.142.125.53 - - [15/Jan/2021:00:52:57 +0000] "GET / HTTP/1.1" 200 1
162.142.125.53 - - [15/Jan/2021:00:52:57 +0000] "GET / HTTP/1.1" 200 1
205.185.121.138 - - [15/Jan/2021:01:02:42 +0000] "GET /manager/html HTTP/1.1" 403 3503
162.142.125.128 - - [15/Jan/2021:01:12:20 +0000] "GET / HTTP/1.1" 200 1
185.216.140.6 - - [15/Jan/2021:02:02:34 +0000] "-" 400 -
185.216.140.6 - - [15/Jan/2021:02:02:49 +0000] "GET / HTTP/1.1" 200 1
125.166.119.78 - - [15/Jan/2021:02:06:17 +0000] "GET / HTTP/1.1" 200 1
170.83.214.36 - - [15/Jan/2021:02:22:35 +0000] "GET / HTTP/1.1" 200 1
46.167.107.105 - - [15/Jan/2021:02:49:59 +0000] "GET / HTTP/1.1" 200 1
209.141.58.37 - - [15/Jan/2021:02:52:25 +0000] "GET /manager/html HTTP/1.1" 403 3503
130.61.219.221 - - [15/Jan/2021:03:07:30 +0000] "GET /manager/html HTTP/1.1" 403 3503
205.185.121.138 - - [15/Jan/2021:03:11:28 +0000] "GET /manager/html HTTP/1.1" 403 3503
209.141.57.145 - - [15/Jan/2021:04:26:05 +0000] "GET /script HTTP/1.1" 404 1080
54.249.24.254 - - [15/Jan/2021:05:04:17 +0000] "GET /login HTTP/1.0" 404 1079
54.249.24.254 - - [15/Jan/2021:05:04:17 +0000] "GET /jenkins/login HTTP/1.0" 404 1091
54.249.24.254 - - [15/Jan/2021:05:04:18 +0000] "GET /manager/html HTTP/1.0" 403 3503
54.249.24.254 - - [15/Jan/2021:05:04:18 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.249.24.254 - - [15/Jan/2021:05:04:19 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.249.24.254 - - [15/Jan/2021:05:04:19 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.249.24.254 - - [15/Jan/2021:05:04:19 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.249.24.254 - - [15/Jan/2021:05:04:20 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.249.24.254 - - [15/Jan/2021:05:04:20 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
